               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.040437,           0.0027263,                   0,              0.7756,             0.65307,             0.71543,             0.43802,            0.033187,             0.00168,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.040461,            0.002747,                   0,             0.76782,             0.65844,             0.71539,             0.43787,            0.033174,           0.0016782,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.040388,           0.0027326,                   0,             0.77757,             0.65184,             0.71542,             0.43821,            0.033166,            0.001678,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.040078,           0.0027288,                   0,             0.78086,             0.65002,             0.71615,             0.43852,            0.033152,           0.0016753,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.040158,           0.0027477,                   0,             0.78403,             0.64779,             0.71564,             0.43871,            0.033146,           0.0016734,                   0,            0.008647,            0.008647,            0.008647
                  43,              0.0399,           0.0027285,                   0,             0.78431,             0.64804,             0.71567,             0.43898,            0.033142,           0.0016709,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.039993,           0.0027216,                   0,             0.78472,             0.64878,             0.71642,             0.43925,            0.033128,           0.0016691,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.039896,            0.002752,                   0,             0.77544,             0.65547,             0.71684,             0.43938,            0.033126,           0.0016676,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.039701,           0.0027053,                   0,             0.77828,             0.65363,             0.71698,             0.44007,            0.033119,           0.0016664,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.039918,           0.0027556,                   0,             0.79033,             0.64507,             0.71721,             0.44038,             0.03311,            0.001665,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.039805,           0.0027383,                   0,             0.76825,             0.66025,             0.71698,             0.44075,            0.033115,           0.0016648,                   0,            0.008449,            0.008449,            0.008449
