,VIRT,RES,SHR,CPU%,% Run,File
0,1.795916,0.067904,48.912,6.6,0.2140640051375361,yolo_192-fp16.tflite_d1_m2_t1.log
1,1.8298,0.12352,78.912,100.0,3.4464304827143315,yolo_192-fp16.tflite_d1_m2_t1.log
2,1.834944,0.128436,79.232,100.3,6.689500160548004,yolo_192-fp16.tflite_d1_m2_t1.log
3,1.835232,0.129024,79.424,100.0,9.921866638124797,yolo_192-fp16.tflite_d1_m2_t1.log
4,1.835364,0.129064,79.424,99.7,13.143529915444715,yolo_192-fp16.tflite_d1_m2_t1.log
5,1.835364,0.129072,79.424,100.0,16.375896393021513,yolo_192-fp16.tflite_d1_m2_t1.log
6,1.835696,0.129524,79.424,100.3,19.61896607085518,yolo_192-fp16.tflite_d1_m2_t1.log
7,1.82808,0.129912,79.424,100.0,22.851332548431984,yolo_192-fp16.tflite_d1_m2_t1.log
8,1.828296,0.130104,79.424,100.0,26.083699026008777,yolo_192-fp16.tflite_d1_m2_t1.log
9,1.841332,0.1344,79.424,99.7,29.305362303328693,yolo_192-fp16.tflite_d1_m2_t1.log
10,1.841332,0.1344,79.424,100.3,32.548431981162366,yolo_192-fp16.tflite_d1_m2_t1.log
11,1.843008,0.137448,80.18,100.0,35.78079845873916,yolo_192-fp16.tflite_d1_m2_t1.log
12,1.843008,0.13682,79.436,100.0,39.01316493631596,yolo_192-fp16.tflite_d1_m2_t1.log
13,1.843008,0.136912,79.5,100.0,42.24553141389275,yolo_192-fp16.tflite_d1_m2_t1.log
14,1.843008,0.136912,79.5,100.0,45.477897891469546,yolo_192-fp16.tflite_d1_m2_t1.log
15,1.843008,0.136948,79.5,99.7,48.699561168789465,yolo_192-fp16.tflite_d1_m2_t1.log
16,1.843008,0.136948,79.5,100.0,51.93192764636626,yolo_192-fp16.tflite_d1_m2_t1.log
17,1.837236,0.131212,79.536,100.3,55.17499732419993,yolo_192-fp16.tflite_d1_m2_t1.log
18,2.122152,0.14944,80.116,99.7,58.396660601519855,yolo_192-fp16.tflite_d1_m2_t1.log
19,2.139688,0.425068,80.412,62.9,60.43026865032645,yolo_192-fp16.tflite_d1_m2_t1.log
20,2.139688,0.425068,80.412,9.2,60.729958257519,yolo_192-fp16.tflite_d1_m2_t1.log
